Puzzle_Size :1000
RESULT: 0,
RESULT: 2,
RESULT: 17,
RESULT: unreachable,
RESULT: 16,
RESULT: 22,
RESULT: unreachable,
RESULT: 16,
RESULT: 22,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 27,
RESULT: unreachable,
RESULT: 23,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 18,
RESULT: unreachable,
RESULT: 15,
RESULT: unreachable,
RESULT: 25,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 20,
RESULT: 24,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 21,
RESULT: unreachable,
RESULT: 23,
RESULT: 19,
RESULT: 25,
RESULT: 24,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 21,
RESULT: 26,
RESULT: 25,
RESULT: unreachable,
RESULT: 28,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 23,
RESULT: 23,
RESULT: 21,
RESULT: 14,
RESULT: 19,
RESULT: unreachable,
RESULT: 16,
RESULT: 19,
RESULT: 23,
RESULT: unreachable,
RESULT: 20,
RESULT: 20,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 23,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 28,
RESULT: 22,
RESULT: 28,
RESULT: unreachable,
RESULT: 27,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 20,
RESULT: unreachable,
RESULT: 16,
RESULT: 22,
RESULT: unreachable,
RESULT: 24,
RESULT: unreachable,
RESULT: 24,
RESULT: unreachable,
RESULT: 21,
RESULT: 20,
RESULT: unreachable,
RESULT: 26,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 26,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 23,
RESULT: 22,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 23,
RESULT: 24,
RESULT: 22,
RESULT: unreachable,
RESULT: 21,
RESULT: 25,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 27,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 24,
RESULT: unreachable,
RESULT: 21,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 26,
RESULT: 19,
RESULT: 20,
RESULT: unreachable,
RESULT: 26,
RESULT: 24,
RESULT: unreachable,
RESULT: 15,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 18,
RESULT: 26,
RESULT: unreachable,
RESULT: 25,
RESULT: 18,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 21,
RESULT: 22,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 23,
RESULT: 17,
RESULT: 25,
RESULT: 19,
RESULT: 27,
RESULT: unreachable,
RESULT: 21,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 22,
RESULT: unreachable,
RESULT: 25,
RESULT: 25,
RESULT: 19,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 18,
RESULT: unreachable,
RESULT: unreachable,
RESULT: 22,
RESULT: unreachable,
RESULT: 26,
RESULT: unreachable,
RESULT: 24,
RESULT: 24,
RESULT: unreachable,
RESULT: 17,
